;;;;;;;;;;;;;;;;;
II.1.7 - População estrangeira com estatuto de residente segundo as principais nacionalidades por município, 2021;;;;;;;;;;;;;;;;;
II.1.7 - Foreign population with resident status according to main nationalities by municipality, 2021;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;Unit: No.;;;Desagregação Territorial;;;
;Total;Brasil ;Ucrânia;Cabo Verde;Roménia;Angola;Guiné Bissau;Reino Unido;Moldávia;China;São Tomé e Príncipe;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Vila do Conde;  2 834;   947;   52;   17;   9;   37;   2;   29;   0;   803;   1;;11A1316;;;;x
Vila Nova de Gaia;  10 504;  5 799;   304;   174;   91;   715;   149;   154;   29;   244;   38;;11A1317;;;;x
   Alto Tâmega;  1 398;   484;   60;   5;   43;   19;   4;   18;   0;   117;   7;;11B;;;x;
Boticas;   56;   20;   0;   0;   0;   1;   0;   2;   0;   9;   6;;11B1702;;;;x
Chaves;   728;   292;   24;   3;   24;   10;   2;   7;   0;   57;   0;;11B1703;;;;x
Montalegre;   100;   28;   9;   2;   0;   1;   1;   2;   0;   9;   0;;11B1706;;;;x
Ribeira de Pena;   118;   39;   0;   0;   4;   1;   0;   2;   0;   7;   0;;11B1709;;;;x
Valpaços;   188;   52;   17;   0;   9;   4;   1;   5;   0;   17;   0;;11B1712;;;;x
Vila Pouca de Aguiar;   208;   53;   10;   0;   6;   2;   0;   0;   0;   18;   1;;11B1713;;;;x
   Tâmega e Sousa;  3 528;  1 579;   148;   41;   71;   138;   31;   96;   11;   178;   107;;11C;;;x;
Amarante;   485;   187;   21;   6;   29;   23;   4;   38;   1;   16;   2;;11C1301;;;;x
Baião;   124;   37;   2;   0;   4;   2;   0;   14;   1;   7;   0;;11C1302;;;;x
Castelo de Paiva;   115;   51;   0;   0;   3;   6;   0;   0;   0;   13;   3;;11C0106;;;;x
Celorico de Basto;   100;   26;   1;   2;   3;   1;   0;   0;   0;   6;   0;;11C0305;;;;x
Cinfães;   126;   58;   2;   2;   2;   4;   0;   4;   2;   6;   0;;11C1804;;;;x
Felgueiras;   448;   217;   18;   8;   6;   10;   2;   4;   1;   7;   2;;11C1303;;;;x
Lousada;   513;   235;   14;   5;   3;   25;   3;   4;   1;   20;   97;;11C1305;;;;x
Marco de Canaveses;   504;   172;   36;   3;   6;   24;   5;   17;   2;   25;   0;;11C1307;;;;x
Paços de Ferreira;   434;   253;   5;   6;   4;   15;   1;   1;   1;   40;   1;;11C1309;;;;x
Penafiel;   623;   335;   49;   9;   5;   28;   14;   14;   2;   28;   2;;11C1311;;;;x
Resende;   56;   8;   0;   0;   6;   0;   2;   0;   0;   10;   0;;11C1813;;;;x
   Douro;  2 559;   895;   118;   49;   217;   69;   10;   30;   2;   206;   18;;11D;;;x;
Alijó;   93;   21;   1;   0;   9;   6;   0;   0;   0;   12;   0;;11D1701;;;;x
Armamar;   77;   15;   4;   1;   0;   0;   0;   0;   0;   6;   0;;11D1801;;;;x
Carrazeda de Ansiães;   136;   18;   0;   1;   0;   0;   0;   0;   0;   10;   0;;11D0403;;;;x
Freixo de Espada à Cinta;   98;   7;   1;   0;   4;   6;   0;   0;   0;   10;   0;;11D0404;;;;x
Lamego;   150;   52;   7;   4;   6;   12;   2;   4;   0;   9;   2;;11D1805;;;;x
Mesão Frio;   17;   3;   0;   0;   2;   1;   1;   1;   0;   3;   0;;11D1704;;;;x
Moimenta da Beira;   151;   41;   16;   16;   0;   1;   0;   0;   0;   14;   1;;11D1807;;;;x
Murça;   46;   12;   3;   0;   0;   4;   0;   0;   0;   6;   1;;11D1707;;;;x
Penedono;   19;   6;   0;   1;   1;   0;   0;   0;   0;   8;   0;;11D1812;;;;x
Peso da Régua;   100;   41;   5;   8;   2;   1;   3;   1;   0;   13;   5;;11D1708;;;;x
Sabrosa;   37;   15;   0;   0;   1;   0;   0;   7;   0;   9;   0;;11D1710;;;;x
Santa Marta de Penaguião;   69;   8;   0;   1;   50;   0;   0;   0;   0;   3;   0;;11D1711;;;;x
São João da Pesqueira;   86;   21;   2;   3;   32;   0;   0;   0;   0;   2;   3;;11D1815;;;;x
Sernancelhe;   62;   13;   4;   0;   6;   0;   0;   0;   0;   7;   1;;11D1818;;;;x
Tabuaço;   45;   15;   5;   1;   0;   4;   0;   1;   0;   8;   0;;11D1819;;;;x
Tarouca;   65;   26;   2;   1;   3;   0;   1;   1;   0;   13;   0;;11D1820;;;;x
Torre de Moncorvo;   82;   13;   1;   0;   2;   3;   0;   3;   0;   8;   0;;11D0409;;;;x
Vila Nova de Foz Côa;   185;   24;   36;   0;   60;   0;   1;   1;   0;   5;   0;;11D0914;;;;x
Vila Real;  1 041;   544;   31;   12;   39;   31;   2;   11;   2;   60;   5;;11D1714;;;;x
   Terras de Trás-os-Montes;  3 540;   903;   113;   731;   99;   125;   104;   17;   12;   130;   139;;11E;;;x;
Alfândega da Fé;   164;   6;   0;   0;   4;   2;   0;   0;   0;   8;   0;;11E0401;;;;x
Bragança;  2 059;   605;   49;   606;   18;   96;   74;   9;   5;   47;   110;;11E0402;;;;x
Macedo de Cavaleiros;   254;   43;   22;   0;   5;   2;   10;   1;   1;   15;   1;;11E0405;;;;x
Miranda do Douro;   109;   41;   4;   3;   2;   0;   0;   1;   0;   5;   0;;11E0406;;;;x
Mirandela;   537;   111;   32;   122;   8;   18;   20;   3;   6;   24;   28;;11E0407;;;;x
Mogadouro;   92;   29;   0;   0;   1;   2;   0;   1;   0;   11;   0;;11E0408;;;;x
Vila Flor;   199;   24;   6;   0;   53;   1;   0;   0;   0;   8;   0;;11E0410;;;;x
Vimioso;   74;   29;   0;   0;   1;   0;   0;   1;   0;   5;   0;;11E0411;;;;x
Vinhais;   52;   15;   0;   0;   7;   4;   0;   1;   0;   7;   0;;11E0412;;;;x
  Centro;  94 751;  33 149;  6 925;  1 712;  3 660;  2 629;  1 379;  7 144;   684;  3 050;  1 177;;16;;x;;
   Oeste;  23 487;  7 890;  1 700;   196;  1 241;   468;   370;  1 574;   430;   592;   138;;16B;;;x;
Alcobaça;  2 814;   647;   283;   44;   65;   38;   9;   266;   25;   120;   11;;16B1001;;;;x
Alenquer;  3 418;  1 814;   329;   41;   163;   146;   196;   13;   77;   53;   20;;16B1101;;;;x
Arruda dos Vinhos;   778;   498;   54;   8;   80;   4;   1;   3;   9;   24;   1;;16B1102;;;;x
Bombarral;   617;   108;   57;   3;   79;   41;   1;   53;   5;   20;   1;;16B1005;;;;x
Cadaval;   473;   103;   58;   5;   8;   3;   2;   47;   17;   9;   0;;16B1104;;;;x
Caldas da Rainha;  3 998;  1 233;   306;   25;   63;   87;   80;   509;   49;   91;   27;;16B1006;;;;x
Lourinhã;  1 705;   505;   140;   5;   72;   23;   8;   120;   20;   39;   1;;16B1108;;;;x
Nazaré;  1 146;   262;   32;   4;   28;   10;   2;   72;   12;   25;   41;;16B1011;;;;x
Óbidos;   961;   71;   45;   3;   25;   5;   5;   261;   5;   15;   0;;16B1012;;;;x
Peniche;  1 578;   404;   55;   35;   81;   21;   40;   115;   7;   38;   13;;16B1014;;;;x
Sobral de Monte Agraço;   424;   266;   39;   12;   16;   7;   4;   4;   8;   13;   7;;16B1112;;;;x
Torres Vedras;  5 575;  1 979;   302;   11;   561;   83;   22;   111;   196;   145;   16;;16B1113;;;;x
   Região de Aveiro;  14 213;  5 722;   969;   192;   211;   439;   297;   189;   62;   545;   293;;16D;;;x;
Águeda;  1 598;   691;   155;   19;   25;   31;   45;   13;   4;   32;   27;;16D0101;;;;x
Albergaria-a-Velha;   642;   239;   94;   2;   5;   15;   18;   8;   12;   17;   5;;16D0102;;;;x
Anadia;   754;   235;   99;   12;   8;   13;   0;   24;   5;   18;   10;;16D0103;;;;x
Aveiro;  5 829;  2 598;   303;   105;   44;   268;   141;   59;   19;   262;   113;;16D0105;;;;x
Estarreja;   651;   139;   26;   7;   7;   7;   7;   7;   0;   29;   3;;16D0108;;;;x
Ílhavo;  1 486;   588;   78;   14;   67;   37;   76;   18;   8;   50;   8;;16D0110;;;;x
Murtosa;   232;   56;   5;   1;   6;   0;   0;   7;   0;   8;   0;;16D0112;;;;x
Oliveira do Bairro;  1 016;   423;   99;   6;   16;   16;   0;   10;   7;   32;   68;;16D0114;;;;x
Ovar;  1 097;   484;   68;   16;   22;   17;   3;   30;   5;   60;   8;;16D0115;;;;x
Sever do Vouga;   226;   94;   24;   4;   9;   25;   0;   3;   2;   13;   1;;16D0117;;;;x
Vagos;   682;   175;   18;   6;   2;   10;   7;   10;   0;   24;   50;;16D0118;;;;x
   Região de Coimbra;  18 257;  5 925;   792;   422;   488;   620;   228;  2 089;   44;   553;   232;;16E;;;x;
Arganil;   741;   63;   8;   1;   5;   4;   0;   378;   0;   6;   0;;16E0601;;;;x
Cantanhede;   777;   359;   82;   8;   27;   5;   5;   19;   2;   39;   9;;16E0602;;;;x
Coimbra;  7 995;  3 133;   246;   324;   188;   451;   185;   126;   10;   287;   141;;16E0603;;;;x
Condeixa-a-Nova;   382;   182;   57;   11;   5;   12;   0;   12;   0;   10;   0;;16E0604;;;;x
Figueira da Foz;  2 983;  1 132;   206;   23;   75;   54;   6;   66;   10;   102;   17;;16E0605;;;;x
Góis;   289;   8;   2;   0;   1;   1;   0;   188;   0;   3;   0;;16E0606;;;;x
Lousã;   536;   87;   10;   5;   42;   22;   0;   172;   0;   11;   1;;16E0607;;;;x
Mealhada;   404;   171;   62;   3;   34;   12;   2;   11;   13;   4;   10;;16E0111;;;;x
Mira;   307;   161;   12;   4;   3;   7;   0;   11;   6;   8;   0;;16E0608;;;;x
Miranda do Corvo;   393;   51;   8;   8;   5;   7;   24;   134;   1;   11;   4;;16E0609;;;;x
Montemor-o-Velho;   329;   81;   22;   8;   17;   8;   1;   10;   0;   11;   18;;16E0610;;;;x
Mortágua;   306;   144;   4;   2;   2;   6;   0;   67;   0;   3;   4;;16E1808;;;;x
Oliveira do Hospital;   866;   90;   8;   3;   43;   12;   3;   247;   0;   26;   6;;16E0611;;;;x
Pampilhosa da Serra;   36;   3;   1;   1;   2;   0;   0;   14;   0;   1;   0;;16E0612;;;;x
Penacova;   208;   38;   4;   3;   1;   5;   2;   69;   1;   7;   20;;16E0613;;;;x
Penela;   397;   32;   11;   4;   8;   3;   0;   177;   0;   4;   2;;16E0614;;;;x
Soure;   291;   78;   32;   12;   25;   2;   0;   36;   1;   9;   0;;16E0615;;;;x
Tábua;   688;   49;   3;   1;   3;   6;   0;   232;   0;   10;   0;;16E0616;;;;x
Vila Nova de Poiares;   329;   63;   14;   1;   2;   3;   0;   120;   0;   1;   0;;16E0617;;;;x
   Região de Leiria;  15 837;  6 168;  2 007;   288;   723;   254;   50;  1 158;   73;   550;   101;;16F;;;x;
Alvaiázere;   495;   17;   13;   0;   4;   2;   1;   326;   0;   7;   1;;16F1002;;;;x
Ansião;   387;   46;   26;   3;   8;   3;   2;   178;   0;   16;   0;;16F1003;;;;x
Batalha;   647;   240;   200;   11;   41;   8;   1;   10;   3;   11;   6;;16F1004;;;;x
Castanheira de Pêra;   139;   22;   4;   1;   2;   0;   0;   61;   0;   6;   1;;16F1007;;;;x
Figueiró dos Vinhos;   288;   23;   3;   0;   2;   1;   0;   133;   0;   17;   0;;16F1008;;;;x
Leiria;  7 501;  3 752;   916;   110;   189;   167;   34;   107;   25;   268;   46;;16F1009;;;;x
Marinha Grande;  2 845;   953;   360;   81;   85;   38;   7;   17;   21;   104;   16;;16F1010;;;;x
Pedrógão Grande;   622;   18;   0;   14;   7;   0;   0;   260;   1;   3;   11;;16F1013;;;;x
Pombal;  2 027;   853;   254;   18;   370;   17;   3;   34;   8;   57;   14;;16F1015;;;;x
Porto de Mós;   886;   244;   231;   50;   15;   18;   2;   32;   15;   61;   6;;16F1016;;;;x
   Viseu Dão Lafões;  6 186;  3 052;   364;   104;   138;   200;   44;   189;   17;   256;   121;;16G;;;x;
Aguiar da Beira;   45;   13;   7;   0;   1;   2;   0;   0;   0;   11;   0;;16G0901;;;;x
Carregal do Sal;   210;   80;   2;   3;   19;   1;   0;   37;   1;   6;   0;;16G1802;;;;x
Castro Daire;   164;   64;   8;   2;   1;   3;   12;   4;   0;   28;   6;;16G1803;;;;x
Mangualde;   404;   169;   40;   0;   3;   2;   2;   4;   3;   12;   0;;16G1806;;;;x
Nelas;   272;   125;   14;   0;   4;   16;   6;   10;   1;   14;   0;;16G1809;;;;x
Oliveira de Frades;   404;   259;   24;   1;   34;   6;   3;   11;   0;   9;   1;;16G1810;;;;x
Penalva do Castelo;   67;   16;   2;   1;   0;   1;   0;   0;   0;   8;   0;;16G1811;;;;x
Santa Comba Dão;   298;   46;   8;   9;   30;   12;   0;   36;   3;   16;   1;;16G1814;;;;x
São Pedro do Sul;   272;   122;   8;   2;   2;   14;   0;   5;   0;   10;   17;;16G1816;;;;x
Sátão;   109;   28;   8;   0;   3;   0;   1;   6;   0;   12;   0;;16G1817;;;;x
Tondela;   429;   170;   8;   16;   3;   12;   1;   29;   0;   18;   15;;16G1821;;;;x
Vila Nova de Paiva;   57;   20;   0;   2;   4;   2;   0;   0;   0;   11;   0;;16G1822;;;;x
Viseu;  3 321;  1 889;   223;   68;   30;   126;   19;   39;   9;   99;   64;;16G1823;;;;x
Vouzela;   134;   51;   12;   0;   4;   3;   0;   8;   0;   2;   17;;16G1824;;;;x
   Beira Baixa;  3 562;   723;   159;   152;   216;   92;   112;   683;   1;   81;   46;;16H;;;x;
Castelo Branco;  2 122;   574;   119;   125;   150;   78;   94;   203;   1;   61;   5;;16H0502;;;;x
Idanha-a-Nova;   475;   21;   9;   19;   33;   6;   13;   94;   0;   4;   41;;16H0505;;;;x
Oleiros;   156;   22;   0;   3;   1;   5;   0;   58;   0;   5;   0;;16H0506;;;;x
Penamacor;   398;   6;   8;   0;   5;   1;   0;   237;   0;   4;   0;;16H0507;;;;x
Proença-a-Nova;   228;   67;   15;   0;   15;   2;   1;   50;   0;   7;   0;;16H0508;;;;x
Vila Velha de Ródão;   183;   33;   8;   5;   12;   0;   4;   41;   0;   0;   0;;16H0511;;;;x
   Médio Tejo;  7 960;  2 298;   768;   124;   560;   334;   80;   786;   47;   284;   91;;16I;;;x;
Abrantes;   608;   189;   45;   14;   105;   17;   13;   31;   3;   22;   2;;16I1401;;;;x
Alcanena;   443;   139;   90;   17;   32;   20;   8;   4;   14;   17;   1;;16I1402;;;;x
Constância;   48;   11;   0;   1;   9;   7;   0;   7;   0;   4;   0;;16I1408;;;;x
Entroncamento;   984;   504;   63;   42;   20;   129;   23;   4;   5;   49;   8;;16I1410;;;;x
Ferreira do Zêzere;   387;   34;   10;   1;   9;   3;   0;   153;   2;   10;   0;;16I1411;;;;x
Mação;   146;   34;   2;   0;   19;   0;   0;   41;   0;   8;   1;;16I1413;;;;x
Ourém;  2 684;   833;   425;   19;   255;   69;   13;   33;   12;   54;   10;;16I1421;;;;x
Sardoal;   68;   15;   5;   0;   4;   0;   0;   4;   0;   3;   0;;16I1417;;;;x
Sertã;   560;   59;   4;   1;   2;   25;   1;   182;   0;   14;   42;;16I0509;;;;x
Tomar;  1 151;   216;   54;   18;   37;   39;   16;   268;   3;   60;   5;;16I1418;;;;x
Torres Novas;   684;   210;   67;   10;   57;   19;   4;   39;   8;   34;   9;;16I1419;;;;x
Vila de Rei;   90;   12;   1;   1;   6;   1;   2;   15;   0;   5;   12;;16I0510;;;;x
Vila Nova da Barquinha;   107;   42;   2;   0;   5;   5;   0;   5;   0;   4;   1;;16I1420;;;;x
   Beiras e Serra da Estrela;  5 249;  1 371;   166;   234;   83;   222;   198;   476;   10;   189;   155;;16J;;;x;
Almeida;   105;   27;   12;   2;   7;   0;   0;   0;   3;   12;   0;;16J0902;;;;x
Belmonte;   91;   26;   5;   1;   0;   0;   0;   6;   0;   13;   0;;16J0501;;;;x
Celorico da Beira;   160;   29;   2;   0;   4;   2;   0;   54;   0;   6;   0;;16J0903;;;;x
Covilhã;  1 497;   627;   28;   90;   7;   165;   8;   11;   4;   24;   11;;16J0503;;;;x
Figueira de Castelo Rodrigo;   43;   11;   6;   1;   4;   0;   0;   1;   0;   5;   0;;16J0904;;;;x
Fornos de Algodres;   77;   14;   3;   0;   1;   0;   0;   31;   0;   3;   0;;16J0905;;;;x
Fundão;  1 206;   244;   17;   3;   16;   6;   39;   222;   1;   21;   16;;16J0504;;;;x
Gouveia;   225;   21;   5;   9;   1;   7;   2;   36;   0;   12;   0;;16J0906;;;;x
Guarda;   973;   190;   59;   114;   18;   24;   145;   14;   2;   34;   84;;16J0907;;;;x
Manteigas;   40;   17;   1;   0;   0;   2;   0;   2;   0;   1;   5;;16J0908;;;;x
Mêda;   42;   6;   4;   0;   3;   0;   0;   0;   0;   10;   0;;16J0909;;;;x
Pinhel;   84;   15;   16;   0;   7;   5;   0;   0;   0;   13;   0;;16J0910;;;;x
Sabugal;   131;   31;   2;   2;   10;   6;   0;   7;   0;   7;   0;;16J0911;;;;x
Seia;   475;   94;   2;   10;   0;   5;   4;   89;   0;   13;   39;;16J0912;;;;x
Trancoso;   100;   19;   4;   2;   5;   0;   0;   3;   0;   15;   0;;16J0913;;;;x
  A. M. Lisboa;  343 995;  94 746;  8 707;  27 115;  12 349;  18 716;  16 554;  9 600;  1 989;  11 759;  8 723;;170;;x;x;
Alcochete;  1 388;   356;   55;   9;   319;   68;   4;   59;   7;   32;   6;;1701502;;;;x
Almada;  16 570;  6 454;   323;  1 804;   293;   946;   258;   240;   105;   413;   585;;1701503;;;;x
Amadora;  23 834;  5 851;   563;  5 599;   765;  1 466;  2 678;   240;   62;   443;   930;;1701115;;;;x
Barreiro;  5 768;  2 039;   86;   785;   64;   618;   479;   44;   27;   176;   230;;1701504;;;;x
Cascais;  34 097;  11 074;   924;   897;  1 220;   541;   892;  2 460;   333;   846;   91;;1701105;;;;x
Lisboa;  108 653;  19 457;  1 445;  2 113;  1 949;  2 566;  1 295;  4 768;   139;  6 190;   850;;1701106;;;;x
Loures;  21 579;  5 050;   798;  1 902;   988;  1 969;  1 892;   107;   117;   453;  2 281;;1701107;;;;x
Mafra;  6 116;  2 872;   301;   37;   287;   79;   18;   283;   100;   147;   23;;1701109;;;;x
Moita;  4 460;  1 114;   91;   719;   100;   596;   733;   50;   21;   165;   238;;1701506;;;;x
Montijo;  5 848;  2 082;   172;   81;   952;   347;   32;   41;   76;   127;   47;;1701507;;;;x
Odivelas;  20 788;  5 541;   917;   905;   790;  2 056;  1 769;   149;   84;   443;   585;;1701116;;;;x
Oeiras;  14 070;  5 653;   395;  1 399;   409;   431;   214;   221;   107;   453;   95;;1701110;;;;x
Palmela;  3 469;  1 184;   170;   88;   502;   172;   33;   116;   71;   121;   20;;1701508;;;;x
Seixal;  12 904;  4 805;   214;  2 081;   289;  1 108;   424;   90;   57;   250;  1 198;;1701510;;;;x
Sesimbra;  3 290;  1 336;   99;   115;   166;   107;   15;   124;   69;   83;   18;;1701511;;;;x
Setúbal;  9 509;  4 423;   346;   495;   764;   534;   67;   162;   141;   322;   41;;1701512;;;;x
Sintra;  42 475;  11 994;  1 452;  7 364;  2 059;  4 474;  5 260;   457;   360;   875;  1 253;;1701111;;;;x
Vila Franca de Xira;  9 177;  3 817;   411;   731;   752;   706;   495;   48;   120;   252;   238;;1701114;;;;x
  Alentejo;  39 702;  8 543;  2 329;   604;  3 849;   583;   293;  1 255;   492;  1 540;   74;;18;;x;;
   Alentejo Litoral;  14 622;  1 442;   514;   211;   747;   56;   19;   399;   122;   168;   3;;181;;;x;
Alcácer do Sal;   492;   71;   13;   5;   167;   4;   0;   22;   11;   17;   0;;1811501;;;;x
Grândola;   765;   282;   18;   7;   98;   4;   1;   11;   2;   38;   0;;1811505;;;;x
Odemira;  10 927;   328;   367;   15;   135;   9;   6;   330;   82;   34;   0;;1810211;;;;x
Santiago do Cacém;  1 348;   306;   64;   30;   223;   25;   0;   30;   13;   36;   2;;1811509;;;;x
Sines;  1 090;   455;   52;   154;   124;   14;   12;   6;   14;   43;   1;;1811513;;;;x
   Baixo Alentejo;  5 026;   851;   278;   104;   690;   55;   161;   328;   76;   214;   6;;184;;;x;
Aljustrel;   178;   47;   26;   1;   6;   2;   3;   10;   4;   12;   0;;1840201;;;;x
Almodôvar;   247;   63;   18;   4;   17;   1;   1;   20;   3;   8;   0;;1840202;;;;x
Alvito;   82;   9;   10;   10;   2;   3;   0;   7;   9;   1;   0;;1840203;;;;x
Barrancos;   18;   2;   0;   0;   4;   0;   1;   0;   0;   2;   0;;1840204;;;;x
Beja;  1 808;   426;   112;   50;   156;   36;   130;   14;   35;   105;   2;;1840205;;;;x
Castro Verde;   201;   42;   17;   2;   16;   1;   0;   17;   5;   13;   0;;1840206;;;;x
Cuba;   451;   26;   16;   15;   74;   5;   3;   2;   0;   5;   0;;1840207;;;;x
Ferreira do Alentejo;   692;   46;   12;   0;   191;   3;   9;   48;   12;   12;   0;;1840208;;;;x
Mértola;   181;   39;   6;   9;   16;   0;   6;   23;   0;   7;   3;;1840209;;;;x
Moura;   249;   24;   5;   2;   115;   2;   4;   1;   0;   25;   0;;1840210;;;;x
Ourique;   383;   32;   11;   0;   5;   1;   0;   181;   2;   7;   1;;1840212;;;;x
Serpa;   386;   71;   16;   3;   56;   0;   3;   5;   1;   11;   0;;1840213;;;;x
Vidigueira;   150;   24;   29;   8;   32;   1;   1;   0;   5;   6;   0;;1840214;;;;x
   Lezíria do Tejo;  12 276;  3 911;  1 161;   90;  1 380;   331;   72;   211;   167;   721;   38;;185;;;x;
Almeirim;  1 000;   253;   61;   7;   219;   24;   2;   20;   4;   39;   1;;1851403;;;;x
Alpiarça;   339;   31;   30;   0;   148;   4;   1;   6;   0;   8;   0;;1851404;;;;x
Azambuja;  1 333;   628;   189;   11;   51;   54;   14;   30;   17;   18;   3;;1851103;;;;x
Benavente;  2 278;   833;   199;   13;   258;   50;   3;   15;   62;   415;   11;;1851405;;;;x
Cartaxo;   978;   420;   123;   9;   29;   14;   3;   30;   9;   30;   1;;1851406;;;;x
Chamusca;   118;   24;   4;   0;   30;   3;   1;   3;   0;   16;   1;;1851407;;;;x
Coruche;   350;   84;   48;   1;   26;   4;   0;   8;   1;   18;   0;;1851409;;;;x
Golegã;   100;   13;   5;   1;   13;   2;   0;   6;   0;   14;   1;;1851412;;;;x
