;;;;;;;;;;;;;;;
II.1.6 - Movimento da população e população estrangeira por município, 2021 (continua);;;;;;;;;;;;;;;
II.1.6 - Population changes and foreign population by municipality, 2021 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
Vale de Cambra;   122;   57;   65;   60;   52;   250;   132;   118;   1;;11A0119;;;;x
Valongo;   758;   390;   368;   464;   311;   748;   397;   351;   3;;11A1315;;;;x
Vila do Conde;   592;   332;   260;   279;   197;   809;   384;   425;   0;;11A1316;;;;x
Vila Nova de Gaia;  2 295;  1 154;  1 141;  1 366;   922;  2 866;  1 471;  1 395;   6;;11A1317;;;;x
   Alto Tâmega;   386;   208;   178;   234;   190;  1 312;   681;   631;   1;;11B;;;x;
Boticas;   24;   14;   10;   15;   12;   86;   46;   40;   0;;11B1702;;;;x
Chaves;   173;   97;   76;   112;   88;   504;   260;   244;   0;;11B1703;;;;x
Montalegre;   44;   25;   19;   18;   15;   163;   83;   80;   0;;11B1706;;;;x
Ribeira de Pena;   30;   15;   15;   18;   17;   73;   42;   31;   1;;11B1709;;;;x
Valpaços;   58;   29;   29;   39;   36;   295;   146;   149;   0;;11B1712;;;;x
Vila Pouca de Aguiar;   57;   28;   29;   32;   22;   191;   104;   87;   0;;11B1713;;;;x
   Tâmega e Sousa;  2 768;  1 404;  1 364;  1 304;   774;  3 707;  1 943;  1 764;   5;;11C;;;x;
Amarante;   301;   157;   144;   136;   62;   511;   263;   248;   1;;11C1301;;;;x
Baião;   77;   38;   39;   41;   30;   222;   126;   96;   0;;11C1302;;;;x
Castelo de Paiva;   84;   41;   43;   40;   21;   163;   82;   81;   0;;11C0106;;;;x
Celorico de Basto;   95;   50;   45;   46;   37;   227;   113;   114;   1;;11C0305;;;;x
Cinfães;   108;   57;   51;   69;   42;   230;   115;   115;   0;;11C1804;;;;x
Felgueiras;   377;   190;   187;   171;   103;   436;   219;   217;   1;;11C1303;;;;x
Lousada;   354;   186;   168;   147;   85;   332;   187;   145;   0;;11C1305;;;;x
Marco de Canaveses;   344;   170;   174;   146;   87;   405;   221;   184;   1;;11C1307;;;;x
Paços de Ferreira;   427;   210;   217;   218;   129;   421;   222;   199;   1;;11C1309;;;;x
Penafiel;   549;   279;   270;   257;   153;   624;   326;   298;   0;;11C1311;;;;x
Resende;   52;   26;   26;   33;   25;   136;   69;   67;   0;;11C1813;;;;x
   Douro;  1 018;   512;   506;   561;   423;  2 659;  1 323;  1 336;   4;;11D;;;x;
Alijó;   46;   21;   25;   27;   21;   187;   96;   91;   0;;11D1701;;;;x
Armamar;   28;   16;   12;   15;   9;   96;   38;   58;   0;;11D1801;;;;x
Carrazeda de Ansiães;   20;   6;   14;   11;   8;   107;   51;   56;   0;;11D0403;;;;x
Freixo de Espada à Cinta;   18;   9;   9;   12;   11;   77;   36;   41;   1;;11D0404;;;;x
Lamego;   124;   65;   59;   68;   39;   349;   174;   175;   0;;11D1805;;;;x
Mesão Frio;   14;   6;   8;   7;   2;   55;   25;   30;   0;;11D1704;;;;x
Moimenta da Beira;   64;   27;   37;   34;   28;   129;   58;   71;   0;;11D1807;;;;x
Murça;   21;   11;   10;   14;   12;   91;   39;   52;   0;;11D1707;;;;x
Penedono;   10;   7;   3;   7;   7;   42;   17;   25;   0;;11D1812;;;;x
Peso da Régua;   80;   37;   43;   49;   41;   210;   104;   106;   1;;11D1708;;;;x
Sabrosa;   19;   11;   8;   6;   4;   77;   55;   22;   0;;11D1710;;;;x
Santa Marta de Penaguião;   28;   14;   14;   13;   10;   111;   53;   58;   0;;11D1711;;;;x
São João da Pesqueira;   40;   21;   19;   23;   20;   105;   51;   54;   0;;11D1815;;;;x
Sernancelhe;   34;   14;   20;   21;   17;   83;   46;   37;   0;;11D1818;;;;x
Tabuaço;   32;   17;   15;   18;   13;   68;   33;   35;   1;;11D1819;;;;x
Tarouca;   48;   30;   18;   27;   20;   89;   48;   41;   0;;11D1820;;;;x
Torre de Moncorvo;   36;   18;   18;   27;   21;   119;   59;   60;   0;;11D0409;;;;x
Vila Nova de Foz Côa;   30;   20;   10;   17;   13;   130;   70;   60;   0;;11D0914;;;;x
Vila Real;   326;   162;   164;   165;   127;   534;   270;   264;   1;;11D1714;;;;x
   Terras de Trás-os-Montes;   549;   296;   253;   377;   280;  1 832;   962;   870;   0;;11E;;;x;
Alfândega da Fé;   21;   13;   8;   16;   13;   105;   58;   47;   0;;11E0401;;;;x
Bragança;   206;   106;   100;   146;   106;   472;   238;   234;   0;;11E0402;;;;x
Macedo de Cavaleiros;   84;   42;   42;   55;   43;   226;   131;   95;   0;;11E0405;;;;x
Miranda do Douro;   26;   10;   16;   19;   15;   143;   73;   70;   0;;11E0406;;;;x
Mirandela;   99;   56;   43;   62;   46;   336;   191;   145;   0;;11E0407;;;;x
Mogadouro;   34;   18;   16;   24;   22;   171;   82;   89;   0;;11E0408;;;;x
Vila Flor;   29;   24;   5;   22;   14;   120;   66;   54;   0;;11E0410;;;;x
Vimioso;   16;   6;   10;   12;   9;   85;   37;   48;   0;;11E0411;;;;x
Vinhais;   34;   21;   13;   21;   12;   174;   86;   88;   0;;11E0412;;;;x
  Centro;  14 891;  7 583;  7 308;  8 881;  6 960;  31 555;  15 668;  15 887;   34;;16;;x;;
   Oeste;  2 776;  1 397;  1 379;  1 795;  1 321;  4 994;  2 481;  2 513;   8;;16B;;;x;
Alcobaça;   361;   167;   194;   218;   156;   770;   396;   374;   2;;16B1001;;;;x
Alenquer;   402;   198;   204;   258;   192;   526;   256;   270;   1;;16B1101;;;;x
Arruda dos Vinhos;   107;   61;   46;   53;   39;   205;   97;   108;   0;;16B1102;;;;x
Bombarral;   102;   58;   44;   70;   48;   210;   117;   93;   0;;16B1005;;;;x
Cadaval;   79;   47;   32;   59;   45;   244;   114;   130;   0;;16B1104;;;;x
Caldas da Rainha;   327;   160;   167;   219;   161;   717;   345;   372;   0;;16B1006;;;;x
Lourinhã;   204;   105;   99;   133;   94;   376;   186;   190;   2;;16B1108;;;;x
Nazaré;   123;   67;   56;   82;   57;   216;   111;   105;   0;;16B1011;;;;x
Óbidos;   90;   42;   48;   63;   46;   188;   88;   100;   0;;16B1012;;;;x
Peniche;   210;   103;   107;   154;   118;   368;   189;   179;   1;;16B1014;;;;x
Sobral de Monte Agraço;   75;   34;   41;   51;   40;   139;   70;   69;   0;;16B1112;;;;x
Torres Vedras;   696;   355;   341;   435;   325;  1 035;   512;   523;   2;;16B1113;;;;x
   Região de Aveiro;  2 737;  1 402;  1 335;  1 594;  1 266;  4 324;  2 232;  2 092;   4;;16D;;;x;
Águeda;   306;   151;   155;   181;   140;   544;   284;   260;   0;;16D0101;;;;x
Albergaria-a-Velha;   155;   68;   87;   87;   74;   319;   158;   161;   0;;16D0102;;;;x
Anadia;   158;   83;   75;   99;   81;   398;   205;   193;   0;;16D0103;;;;x
Aveiro;   641;   329;   312;   365;   290;   874;   441;   433;   3;;16D0105;;;;x
Estarreja;   186;   85;   101;   101;   77;   360;   207;   153;   0;;16D0108;;;;x
Ílhavo;   322;   169;   153;   194;   161;   413;   223;   190;   1;;16D0110;;;;x
Murtosa;   96;   51;   45;   53;   45;   136;   63;   73;   0;;16D0112;;;;x
Oliveira do Bairro;   168;   90;   78;   105;   85;   279;   147;   132;   0;;16D0114;;;;x
Ovar;   460;   246;   214;   261;   194;   567;   283;   284;   0;;16D0115;;;;x
Sever do Vouga;   70;   38;   32;   40;   33;   163;   84;   79;   0;;16D0117;;;;x
Vagos;   175;   92;   83;   108;   86;   271;   137;   134;   0;;16D0118;;;;x
   Região de Coimbra;  2 759;  1 390;  1 369;  1 565;  1 262;  6 214;  3 048;  3 166;   3;;16E;;;x;
Arganil;   65;   33;   32;   42;   37;   245;   130;   115;   0;;16E0601;;;;x
Cantanhede;   220;   106;   114;   126;   100;   526;   262;   264;   0;;16E0602;;;;x
Coimbra;  1 022;   513;   509;   547;   427;  1 711;   840;   871;   2;;16E0603;;;;x
Condeixa-a-Nova;   107;   49;   58;   54;   52;   180;   81;   99;   0;;16E0604;;;;x
Figueira da Foz;   347;   182;   165;   209;   160;   853;   419;   434;   1;;16E0605;;;;x
Góis;   11;   6;   5;   7;   6;   93;   39;   54;   0;;16E0606;;;;x
Lousã;   104;   53;   51;   74;   59;   165;   87;   78;   0;;16E0607;;;;x
Mealhada;   120;   48;   72;   75;   57;   261;   130;   131;   0;;16E0111;;;;x
Mira;   77;   35;   42;   38;   32;   195;   100;   95;   0;;16E0608;;;;x
Miranda do Corvo;   67;   40;   27;   32;   26;   195;   99;   96;   0;;16E0609;;;;x
Montemor-o-Velho;   170;   86;   84;   91;   73;   355;   164;   191;   0;;16E0610;;;;x
Mortágua;   53;   29;   24;   29;   27;   139;   67;   72;   0;;16E1808;;;;x
Oliveira do Hospital;   121;   65;   56;   77;   69;   286;   155;   131;   0;;16E0611;;;;x
Pampilhosa da Serra;   13;   5;   8;   8;   7;   116;   48;   68;   0;;16E0612;;;;x
Penacova;   61;   37;   24;   31;   23;   220;   112;   108;   0;;16E0613;;;;x
Penela;   25;   10;   15;   10;   8;   114;   55;   59;   0;;16E0614;;;;x
Soure;   80;   49;   31;   42;   35;   263;   124;   139;   0;;16E0615;;;;x
Tábua;   61;   29;   32;   52;   47;   208;   92;   116;   0;;16E0616;;;;x
Vila Nova de Poiares;   35;   15;   20;   21;   17;   89;   44;   45;   0;;16E0617;;;;x
   Região de Leiria;  2 057;  1 049;  1 008;  1 200;   948;  3 546;  1 847;  1 699;   3;;16F;;;x;
Alvaiázere;   40;   24;   16;   22;   22;   133;   69;   64;   0;;16F1002;;;;x
Ansião;   69;   34;   35;   33;   29;   219;   103;   116;   0;;16F1003;;;;x
Batalha;   104;   55;   49;   51;   41;   166;   82;   84;   0;;16F1004;;;;x
Castanheira de Pêra;   10;   6;   4;   7;   6;   57;   28;   29;   0;;16F1007;;;;x
Figueiró dos Vinhos;   24;   13;   11;   17;   12;   115;   64;   51;   0;;16F1008;;;;x
Leiria;   988;   498;   490;   566;   435;  1 267;   676;   591;   3;;16F1009;;;;x
Marinha Grande;   264;   129;   135;   168;   138;   425;   218;   207;   0;;16F1010;;;;x
Pedrógão Grande;   18;   5;   13;   12;   9;   73;   41;   32;   0;;16F1013;;;;x
Pombal;   363;   202;   161;   210;   170;   794;   413;   381;   0;;16F1015;;;;x
Porto de Mós;   177;   83;   94;   114;   86;   297;   153;   144;   0;;16F1016;;;;x
   Viseu Dão Lafões;  1 579;   795;   784;   879;   696;  3 673;  1 806;  1 867;   7;;16G;;;x;
Aguiar da Beira;   30;   13;   17;   15;   13;   155;   73;   82;   0;;16G0901;;;;x
Carregal do Sal;   53;   26;   27;   33;   24;   131;   63;   68;   0;;16G1802;;;;x
Castro Daire;   67;   34;   33;   28;   19;   215;   113;   102;   0;;16G1803;;;;x
Mangualde;   99;   52;   47;   56;   46;   288;   136;   152;   0;;16G1806;;;;x
Nelas;   65;   37;   28;   39;   31;   187;   99;   88;   1;;16G1809;;;;x
Oliveira de Frades;   60;   26;   34;   39;   31;   117;   57;   60;   0;;16G1810;;;;x
Penalva do Castelo;   25;   14;   11;   13;   9;   142;   69;   73;   0;;16G1811;;;;x
Santa Comba Dão;   74;   33;   41;   41;   29;   185;   92;   93;   0;;16G1814;;;;x
São Pedro do Sul;   67;   37;   30;   34;   31;   241;   118;   123;   0;;16G1816;;;;x
Sátão;   66;   28;   38;   35;   19;   176;   72;   104;   0;;16G1817;;;;x
Tondela;   155;   83;   72;   96;   77;   458;   220;   238;   2;;16G1821;;;;x
Vila Nova de Paiva;   24;   13;   11;   11;   8;   96;   40;   56;   0;;16G1822;;;;x
Viseu;   732;   363;   369;   408;   336;  1 137;   568;   569;   4;;16G1823;;;;x
Vouzela;   62;   36;   26;   31;   23;   145;   86;   59;   0;;16G1824;;;;x
   Beira Baixa;   480;   242;   238;   320;   254;  1 455;   686;   769;   3;;16H;;;x;
Castelo Branco;   355;   187;   168;   226;   183;   799;   386;   413;   3;;16H0502;;;;x
Idanha-a-Nova;   43;   13;   30;   33;   22;   219;   91;   128;   0;;16H0505;;;;x
Oleiros;   20;   14;   6;   15;   13;   84;   37;   47;   0;;16H0506;;;;x
Penamacor;   10;   5;   5;   8;   5;   116;   62;   54;   0;;16H0507;;;;x
Proença-a-Nova;   35;   15;   20;   23;   19;   168;   81;   87;   0;;16H0508;;;;x
Vila Velha de Ródão;   17;   8;   9;   15;   12;   69;   29;   40;   0;;16H0511;;;;x
   Médio Tejo;  1 361;   726;   635;   843;   652;  3 657;  1 722;  1 935;   5;;16I;;;x;
Abrantes;   166;   89;   77;   116;   91;   615;   298;   317;   2;;16I1401;;;;x
Alcanena;   70;   31;   39;   45;   29;   222;   112;   110;   0;;16I1402;;;;x
Constância;   22;   10;   12;   14;   13;   52;   27;   25;   0;;16I1408;;;;x
Entroncamento;   150;   76;   74;   94;   78;   215;   104;   111;   1;;16I1410;;;;x
Ferreira do Zêzere;   48;   25;   23;   22;   16;   161;   80;   81;   0;;16I1411;;;;x
Mação;   28;   16;   12;   20;   12;   160;   73;   87;   0;;16I1413;;;;x
Ourém;   326;   166;   160;   170;   133;   627;   304;   323;   2;;16I1421;;;;x
Sardoal;   18;   7;   11;   15;   12;   58;   20;   38;   0;;16I1417;;;;x
Sertã;   78;   40;   38;   45;   37;   226;   98;   128;   0;;16I0509;;;;x
Tomar;   209;   127;   82;   144;   107;   615;   277;   338;   0;;16I1418;;;;x
Torres Novas;   174;   98;   76;   121;   93;   526;   248;   278;   0;;16I1419;;;;x
Vila de Rei;   25;   10;   15;   12;   10;   81;   33;   48;   0;;16I0510;;;;x
Vila Nova da Barquinha;   47;   31;   16;   25;   21;   99;   48;   51;   0;;16I1420;;;;x
   Beiras e Serra da Estrela;  1 142;   582;   560;   685;   561;  3 692;  1 846;  1 846;   1;;16J;;;x;
Almeida;   12;   7;   5;   8;   5;   164;   69;   95;   0;;16J0902;;;;x
Belmonte;   31;   11;   20;   24;   22;   91;   50;   41;   0;;16J0501;;;;x
Celorico da Beira;   29;   15;   14;   19;   17;   129;   73;   56;   0;;16J0903;;;;x
Covilhã;   260;   123;   137;   174;   143;   685;   351;   334;   0;;16J0503;;;;x
Figueira de Castelo Rodrigo;   33;   20;   13;   19;   16;   136;   72;   64;   0;;16J0904;;;;x
Fornos de Algodres;   18;   13;   5;   14;   10;   115;   59;   56;   0;;16J0905;;;;x
Fundão;   162;   88;   74;   86;   68;   433;   225;   208;   1;;16J0504;;;;x
Gouveia;   49;   28;   21;   34;   26;   230;   99;   131;   0;;16J0906;;;;x
Guarda;   268;   134;   134;   137;   109;   553;   282;   271;   0;;16J0907;;;;x
Manteigas;   19;   9;   10;   11;   10;   66;   30;   36;   0;;16J0908;;;;x
Mêda;   14;   7;   7;   11;   9;   90;   47;   43;   0;;16J0909;;;;x
Pinhel;   26;   15;   11;   14;   11;   177;   96;   81;   0;;16J0910;;;;x
Sabugal;   48;   20;   28;   32;   30;   268;   121;   147;   0;;16J0911;;;;x
Seia;   125;   65;   60;   79;   64;   404;   201;   203;   0;;16J0912;;;;x
Trancoso;   48;   27;   21;   23;   21;   151;   71;   80;   0;;16J0913;;;;x
  A. M. Lisboa;  26 725;  13 737;  12 988;  16 786;  11 216;  33 284;  16 727;  16 557;   78;;170;;x;x;
Alcochete;   152;   74;   78;   95;   73;   165;   93;   72;   0;;1701502;;;;x
Almada;  1 562;   807;   755;  1 006;   649;  2 223;  1 090;  1 133;   7;;1701503;;;;x
Amadora;  1 725;   901;   824;  1 148;   674;  1 915;   978;   937;   6;;1701115;;;;x
Barreiro;   647;   330;   317;   446;   299;  1 075;   577;   498;   2;;1701504;;;;x
Cascais;  1 710;   898;   812;  1 022;   668;  2 408;  1 206;  1 202;   5;;1701105;;;;x
Lisboa;  5 398;  2 805;  2 593;  2 884;  1 936;  7 693;  3 655;  4 038;   18;;1701106;;;;x
Loures;  2 058;  1 030;  1 028;  1 339;   909;  2 331;  1 210;  1 121;   5;;1701107;;;;x
Mafra;   745;   378;   367;   460;   362;   790;   386;   404;   3;;1701109;;;;x
Moita;   675;   359;   316;   511;   326;   854;   445;   409;   1;;1701506;;;;x
Montijo;   569;   307;   262;   363;   241;   643;   346;   297;   1;;1701507;;;;x
Odivelas;  1 648;   843;   805;   946;   656;  1 582;   830;   752;   7;;1701116;;;;x
Oeiras;  1 432;   735;   697;   833;   586;  1 872;   929;   943;   1;;1701110;;;;x
Palmela;   580;   298;   282;   387;   259;   896;   453;   443;   1;;1701508;;;;x
Seixal;  1 464;   733;   731;   980;   687;  1 744;   890;   854;   2;;1701510;;;;x
Sesimbra;   429;   242;   187;   286;   202;   563;   285;   278;   0;;1701511;;;;x
Setúbal;   983;   501;   482;   676;   442;  1 680;   838;   842;   4;;1701512;;;;x
Sintra;  3 723;  1 871;  1 852;  2 600;  1 673;  3 500;  1 809;  1 691;   12;;1701111;;;;x
Vila Franca de Xira;  1 225;   625;   600;   804;   574;  1 350;   707;   643;   3;;1701114;;;;x
  Alentejo;  5 235;  2 713;  2 522;  3 723;  2 832;  11 744;  5 819;  5 925;   10;;18;;x;;
   Alentejo Litoral;   752;   415;   337;   493;   411;  1 485;   765;   720;   0;;181;;;x;
Alcácer do Sal;   64;   31;   33;   41;   38;   246;   121;   125;   0;;1811501;;;;x
Grândola;   108;   63;   45;   76;   63;   249;   112;   137;   0;;1811505;;;;x
Odemira;   269;   144;   125;   149;   125;   380;   216;   164;   0;;1810211;;;;x
Santiago do Cacém;   183;   101;   82;   129;   104;   430;   227;   203;   0;;1811509;;;;x
Sines;   128;   76;   52;   98;   81;   180;   89;   91;   0;;1811513;;;;x
   Baixo Alentejo;   969;   499;   470;   737;   595;  2 174;  1 072;  1 102;   2;;184;;;x;
Aljustrel;   72;   39;   33;   52;   45;   158;   92;   66;   1;;1840201;;;;x
Almodôvar;   57;   26;   31;   46;   38;   120;   64;   56;   0;;1840202;;;;x
Alvito;   20;   11;   9;   13;   12;   60;   30;   30;   0;;1840203;;;;x
Barrancos;   12;   7;   5;   10;   10;   35;   17;   18;   0;;1840204;;;;x
Beja;   310;   160;   150;   220;   172;   552;   268;   284;   0;;1840205;;;;x
Castro Verde;   47;   27;   20;   36;   30;   109;   58;   51;   0;;1840206;;;;x
Cuba;   36;   19;   17;   33;   26;   111;   47;   64;   0;;1840207;;;;x
Ferreira do Alentejo;   70;   26;   44;   60;   41;   139;   75;   64;   1;;1840208;;;;x
Mértola;   42;   25;   17;   33;   24;   151;   76;   75;   0;;1840209;;;;x
Moura;   131;   58;   73;   102;   83;   229;   101;   128;   0;;1840210;;;;x
Ourique;   28;   14;   14;   21;   16;   122;   54;   68;   0;;1840212;;;;x
Serpa;   101;   58;   43;   78;   69;   281;   144;   137;   0;;1840213;;;;x
Vidigueira;   43;   29;   14;   33;   29;   107;   46;   61;   0;;1840214;;;;x
   Lezíria do Tejo;  1 695;   898;   797;  1 163;   836;  3 493;  1 737;  1 756;   5;;185;;;x;
Almeirim;   155;   97;   58;   106;   76;   346;   164;   182;   2;;1851403;;;;x
Alpiarça;   42;   23;   19;   33;   26;   121;   65;   56;   0;;1851404;;;;x
Azambuja;   150;   72;   78;   102;   64;   294;   160;   134;   0;;1851103;;;;x
Benavente;   220;   110;   110;   156;   111;   354;   183;   171;   0;;1851405;;;;x
Cartaxo;   145;   73;   72;   110;   77;   327;   158;   169;   0;;1851406;;;;x
Chamusca;   39;   21;   18;   29;   23;   161;   77;   84;   0;;1851407;;;;x
Coruche;   126;   63;   63;   84;   70;   339;   165;   174;   0;;1851409;;;;x
Golegã;   43;   24;   19;   31;   25;   104;   41;   63;   1;;1851412;;;;x
Rio Maior;   188;   102;   86;   118;   94;   275;   148;   127;   0;;1851414;;;;x
Salvaterra de Magos;   166;   86;   80;   116;   79;   333;   169;   164;   1;;1851415;;;;x
Santarém;   421;   227;   194;   278;   191;   839;   407;   432;   1;;1851416;;;;x
   Alto Alentejo;   690;   336;   354;   522;   373;  2 070;  1 027;  1 043;   2;;186;;;x;
Alter do Chão;   21;   13;   8;   17;   13;   76;   31;   45;   0;;1861201;;;;x
Arronches;   15;   9;   6;   10;   9;   71;   27;   44;   0;;1861202;;;;x
Avis;   28;   14;   14;   25;   21;   85;   43;   42;   0;;1861203;;;;x
Campo Maior;   67;   40;   27;   58;   38;   134;   64;   70;   1;;1861204;;;;x
Castelo de Vide;   17;   10;   7;   11;   9;   81;   46;   35;   0;;1861205;;;;x
Crato;   10;   8;   2;   6;   2;   98;   48;   50;   0;;1861206;;;;x
Elvas;   162;   68;   94;   128;   89;   380;   198;   182;   1;;1861207;;;;x
Fronteira;   14;   7;   7;   7;   5;   62;   25;   37;   0;;1861208;;;;x
Gavião;   14;   5;   9;   8;   6;   89;   38;   51;   0;;1861209;;;;x
Marvão;   24;   9;   15;   19;   12;   82;   37;   45;   0;;1861210;;;;x
Monforte;   18;   10;   8;   13;   10;   51;   27;   24;   0;;1861211;;;;x
Nisa;   20;   12;   8;   12;   10;   173;   85;   88;   0;;1861212;;;;x
Ponte de Sor;   87;   48;   39;   73;   57;   261;   132;   129;   0;;1861213;;;;x
Portalegre;   155;   67;   88;   98;   61;   330;   172;   158;   0;;1861214;;;;x
Sousel;   38;   16;   22;   37;   31;   97;   54;   43;   0;;1861215;;;;x
   Alentejo Central;  1 129;   565;   564;   808;   617;  2 522;  1 218;  1 304;   1;;187;;;x;
Alandroal;   32;   15;   17;   25;   20;   102;   52;   50;   0;;1870701;;;;x
Arraiolos;   45;   27;   18;   33;   24;   118;   54;   64;   0;;1870702;;;;x
Borba;   53;   28;   25;   32;   30;   116;   55;   61;   0;;1870703;;;;x
Estremoz;   106;   54;   52;   77;   61;   235;   116;   119;   0;;1870704;;;;x
Évora;   426;   212;   214;   287;   202;   696;   342;   354;   0;;1870705;;;;x
Montemor-o-Novo;   106;   45;   61;   67;   52;   315;   156;   159;   0;;1870706;;;;x
Mora;   12;   2;   10;   10;   7;   119;   54;   65;   1;;1870707;;;;x
Mourão;   31;   17;   14;   26;   21;   49;   16;   33;   0;;1870708;;;;x
Portel;   42;   21;   21;   29;   23;   99;   44;   55;   0;;1870709;;;;x
Redondo;   48;   28;   20;   39;   33;   104;   54;   50;   0;;1870710;;;;x
Reguengos de Monsaraz;   85;   46;   39;   72;   60;   178;   88;   90;   0;;1870711;;;;x
Vendas Novas;   64;   32;   32;   51;   34;   166;   79;   87;   0;;1870712;;;;x
Viana do Alentejo;   31;   17;   14;   24;   21;   118;   54;   64;   0;;1870713;;;;x
Vila Viçosa;   48;   21;   27;   36;   29;   107;   54;   53;   0;;1870714;;;;x
  Algarve;  4 119;  2 054;  2 065;  2 833;  1 845;  5 862;  3 099;  2 763;   7;;150;;x;x;
Albufeira;   453;   237;   216;   285;   186;   388;   206;   182;   3;;1500801;;;;x
Alcoutim;   7;   4;   3;   6;   6;   75;   37;   38;   0;;1500802;;;;x
Aljezur;   46;   25;   21;   37;   29;   97;   44;   53;   0;;1500803;;;;x
