;;;;;;;;;;;;;;;;;;;;;
II.1.6 - Movimento da população e população estrangeira por município, 2021 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.6 - Population changes and foreign population by municipality, 2021 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
Ponte da Barca;   39;   39;   34;   5;   0;   0;   92;   21;   71;   21;   14;   7;   142;   78;   64;;1111606;;;;x
Ponte de Lima;   141;   140;   68;   72;   0;   1;   249;   62;   187;   129;   70;   59;   548;   297;   251;;1111607;;;;x
Valença;   27;   27;   20;   7;   0;   0;   104;   29;   75;   256;   140;   116;  1 057;   555;   502;;1111608;;;;x
Viana do Castelo;   314;   308;   184;   124;   2;   4;   570;   152;   418;   724;   372;   352;  2 991;  1 541;  1 450;;1111609;;;;x
Vila Nova de Cerveira;   31;   31;   24;   7;   0;   0;   71;   16;   55;   149;   97;   52;   589;   364;   225;;1111610;;;;x
   Cávado;  1 525;  1 508;   937;   569;   7;   10;  2 163;   690;  1 473;  3 237;  1 672;  1 565;  16 781;  8 243;  8 538;;112;;;x;
Amares;   92;   92;   52;   40;   0;   0;   97;   23;   74;   68;   29;   39;   425;   207;   218;;1120301;;;;x
Barcelos;   394;   389;   192;   195;   1;   4;   620;   179;   441;   352;   189;   163;  1 704;   871;   833;;1120302;;;;x
Braga;   658;   650;   448;   202;   4;   4;   958;   354;   604;  2 348;  1 174;  1 174;  12 718;  6 137;  6 581;;1120303;;;;x
Esposende;   116;   115;   58;   57;   1;   0;   188;   55;   133;   296;   192;   104;  1 093;   611;   482;;1120306;;;;x
Terras de Bouro;   28;   28;   28;   0;   0;   0;   40;   7;   33;   10;   2;   8;   81;   33;   48;;1120310;;;;x
Vila Verde;   237;   234;   159;   75;   1;   2;   260;   72;   188;   163;   86;   77;   760;   384;   376;;1120313;;;;x
   Ave;  1 098;  1 088;   685;   403;   6;   4;  2 385;   762;  1 623;  1 275;   703;   572;  6 803;  3 468;  3 335;;119;;;x;
Cabeceiras de Basto;   49;   49;   26;   23;   0;   0;   103;   33;   70;   23;   15;   8;   164;   93;   71;;1190304;;;;x
Fafe;   145;   143;   81;   62;   1;   1;   267;   78;   189;   92;   43;   49;   459;   212;   247;;1190307;;;;x
Guimarães;   343;   340;   249;   91;   2;   1;   891;   304;   587;   482;   246;   236;  2 686;  1 321;  1 365;;1190308;;;;x
Mondim de Basto;   30;   30;   19;   11;   0;   0;   35;   11;   24;   5;   2;   3;   69;   32;   37;;1191705;;;;x
Póvoa de Lanhoso;   46;   45;   45;   0;   0;   1;   153;   47;   106;   47;   29;   18;   337;   186;   151;;1190309;;;;x
Vieira do Minho;   41;   41;   23;   18;   0;   0;   88;   19;   69;   22;   10;   12;   146;   62;   84;;1190311;;;;x
Vila Nova de Famalicão;   381;   378;   199;   179;   3;   0;   741;   236;   505;   549;   330;   219;  2 678;  1 432;  1 246;;1190312;;;;x
Vizela;   63;   62;   43;   19;   0;   1;   107;   34;   73;   55;   28;   27;   264;   130;   134;;1190314;;;;x
   A. M. Porto;  5 492;  5 405;  3 654;  1 725;   51;   36;  10 598;  3 206;  7 392;  11 339;  5 863;  5 476;  57 970;  28 176;  29 794;;11A;;;x;
Arouca;   66;   66;   38;   28;   0;   0;   132;   41;   91;   7;   4;   3;   126;   68;   58;;11A0104;;;;x
Espinho;   192;   191;   147;   43;   0;   1;   211;   56;   155;   96;   40;   56;   857;   381;   476;;11A0107;;;;x
Gondomar;   293;   290;   184;   103;   2;   1;  1 076;   304;   772;   499;   228;   271;  3 239;  1 522;  1 717;;11A1304;;;;x
Maia;   276;   274;   243;   28;   1;   1;   736;   240;   496;   592;   313;   279;  3 796;  1 802;  1 994;;11A1306;;;;x
Matosinhos;   356;   348;   226;   120;   5;   3;  1 037;   324;   713;  1 031;   503;   528;  6 311;  2 988;  3 323;;11A1308;;;;x
Oliveira de Azeméis;   160;   160;   82;   78;   0;   0;   432;   123;   309;   171;   89;   82;  1 094;   515;   579;;11A0113;;;;x
Paredes;   170;   170;   66;   104;   0;   0;   470;   182;   288;   212;   107;   105;   961;   457;   504;;11A1310;;;;x
Porto;  1 372;  1 326;  1 002;   317;   27;   19;  1 488;   401;  1 087;  4 803;  2 562;  2 241;  18 936;  9 576;  9 360;;11A1312;;;;x
Póvoa de Varzim;   339;   333;   231;   101;   6;   0;   377;   122;   255;   490;   250;   240;  2 550;  1 255;  1 295;;11A1313;;;;x
Santa Maria da Feira;   380;   376;   211;   163;   2;   2;   823;   245;   578;   345;   164;   181;  2 081;   929;  1 152;;11A0109;;;;x
Santo Tirso;   237;   236;   117;   116;   1;   0;   473;   123;   350;   94;   41;   53;   647;   281;   366;;11A1314;;;;x
São João da Madeira;   121;   119;   85;   33;   1;   1;   148;   47;   101;   224;   115;   109;  1 024;   497;   527;;11A0116;;;;x
Trofa;   134;   133;   59;   74;   1;   0;   230;   69;   161;   171;   113;   58;   776;   430;   346;;11A1318;;;;x
Vale de Cambra;   97;   97;   66;   31;   0;   0;   151;   34;   117;   104;   54;   50;   460;   243;   217;;11A0119;;;;x
Valongo;   344;   342;   235;   107;   2;   0;   512;   184;   328;   292;   136;   156;  1 774;   839;   935;;11A1315;;;;x
Vila do Conde;   326;   324;   224;   98;   0;   2;   533;   168;   365;   478;   292;   186;  2 834;  1 530;  1 304;;11A1316;;;;x
Vila Nova de Gaia;   629;   620;   438;   181;   3;   6;  1 769;   543;  1 226;  1 730;   852;   878;  10 504;  4 863;  5 641;;11A1317;;;;x
   Alto Tâmega;   227;   224;   160;   64;   1;   2;   676;   148;   528;   212;   111;   101;  1 398;   688;   710;;11B;;;x;
Boticas;   13;   13;   11;   2;   0;   0;   41;   9;   32;   7;   4;   3;   56;   28;   28;;11B1702;;;;x
Chaves;   120;   117;   80;   37;   1;   2;   287;   86;   201;   119;   56;   63;   728;   320;   408;;11B1703;;;;x
Montalegre;   26;   26;   19;   7;   0;   0;   79;   11;   68;   14;   7;   7;   100;   48;   52;;11B1706;;;;x
Ribeira de Pena;   10;   10;   7;   3;   0;   0;   33;   4;   29;   21;   17;   4;   118;   85;   33;;11B1709;;;;x
Valpaços;   33;   33;   26;   7;   0;   0;   137;   18;   119;   26;   8;   18;   188;   74;   114;;11B1712;;;;x
Vila Pouca de Aguiar;   25;   25;   17;   8;   0;   0;   99;   20;   79;   25;   19;   6;   208;   133;   75;;11B1713;;;;x
   Tâmega e Sousa;  1 544;  1 536;   711;   822;   8;   0;  2 290;   665;  1 625;   758;   468;   290;  3 528;  1 768;  1 760;;11C;;;x;
Amarante;   259;   257;   127;   130;   2;   0;   291;   84;   207;   98;   64;   34;   485;   228;   257;;11C1301;;;;x
Baião;   53;   53;   21;   32;   0;   0;   113;   30;   83;   30;   20;   10;   124;   70;   54;;11C1302;;;;x
Castelo de Paiva;   56;   56;   36;   20;   0;   0;   95;   18;   77;   35;   25;   10;   115;   64;   51;;11C0106;;;;x
Celorico de Basto;   62;   62;   33;   29;   0;   0;   126;   24;   102;   15;   6;   9;   100;   43;   57;;11C0305;;;;x
Cinfães;   35;   35;   16;   19;   0;   0;   126;   30;   96;   41;   37;   4;   126;   80;   46;;11C1804;;;;x
Felgueiras;   204;   202;   69;   133;   2;   0;   278;   90;   188;   103;   58;   45;   448;   213;   235;;11C1303;;;;x
Lousada;   196;   196;   62;   133;   0;   0;   252;   88;   164;   139;   103;   36;   513;   313;   200;;11C1305;;;;x
Marco de Canaveses;   212;   210;   110;   99;   2;   0;   262;   81;   181;   99;   54;   45;   504;   235;   269;;11C1307;;;;x
Paços de Ferreira;   164;   163;   67;   96;   1;   0;   311;   107;   204;   84;   43;   41;   434;   195;   239;;11C1309;;;;x
Penafiel;   266;   266;   148;   117;   0;   0;   370;   100;   270;   109;   57;   52;   623;   297;   326;;11C1311;;;;x
Resende;   37;   36;   22;   14;   1;   0;   66;   13;   53;   5;   1;   4;   56;   30;   26;;11C1813;;;;x
   Douro;   536;   535;   294;   240;   0;   1;  1 409;   314;  1 095;   395;   219;   176;  2 559;  1 256;  1 303;;11D;;;x;
Alijó;   26;   26;   14;   12;   0;   0;   103;   18;   85;   10;   3;   7;   93;   40;   53;;11D1701;;;;x
Armamar;   15;   15;   10;   5;   0;   0;   44;   5;   39;   21;   15;   6;   77;   42;   35;;11D1801;;;;x
Carrazeda de Ansiães;   14;   14;   8;   6;   0;   0;   58;   9;   49;   20;   9;   11;   136;   75;   61;;11D0403;;;;x
Freixo de Espada à Cinta;   4;   4;   3;   1;   0;   0;   31;   2;   29;   5;   1;   4;   98;   50;   48;;11D0404;;;;x
Lamego;   74;   74;   42;   32;   0;   0;   173;   40;   133;   20;   18;   2;   150;   69;   81;;11D1805;;;;x
Mesão Frio;   22;   22;   19;   3;   0;   0;   31;   7;   24;   4;   2;   2;   17;   6;   11;;11D1704;;;;x
Moimenta da Beira;   22;   22;   14;   8;   0;   0;   62;   13;   49;   23;   12;   11;   151;   77;   74;;11D1807;;;;x
Murça;   16;   16;   5;   11;   0;   0;   41;   8;   33;   4;   0;   4;   46;   15;   31;;11D1707;;;;x
Penedono;   15;   15;   9;   6;   0;   0;   20;   3;   17;   0;   0;   0;   19;   9;   10;;11D1812;;;;x
Peso da Régua;   70;   70;   47;   23;   0;   0;   124;   25;   99;   5;   3;   2;   100;   47;   53;;11D1708;;;;x
Sabrosa;   11;   11;   5;   6;   0;   0;   47;   11;   36;   4;   2;   2;   37;   16;   21;;11D1710;;;;x
Santa Marta de Penaguião;   18;   18;   9;   9;   0;   0;   58;   10;   48;   3;   2;   1;   69;   44;   25;;11D1711;;;;x
São João da Pesqueira;   8;   8;   5;   3;   0;   0;   46;   5;   41;   12;   6;   6;   86;   40;   46;;11D1815;;;;x
Sernancelhe;   19;   19;   9;   10;   0;   0;   39;   9;   30;   13;   9;   4;   62;   39;   23;;11D1818;;;;x
Tabuaço;   15;   15;   5;   10;   0;   0;   33;   5;   28;   11;   7;   4;   45;   24;   21;;11D1819;;;;x
Tarouca;   15;   15;   6;   9;   0;   0;   61;   21;   40;   7;   2;   5;   65;   30;   35;;11D1820;;;;x
Torre de Moncorvo;   10;   10;   10;   0;   0;   0;   57;   6;   51;   7;   3;   4;   82;   30;   52;;11D0409;;;;x
Vila Nova de Foz Côa;   15;   15;   9;   6;   0;   0;   68;   10;   58;   10;   7;   3;   185;   98;   87;;11D0914;;;;x
Vila Real;   147;   146;   65;   80;   0;   1;   313;   107;   206;   216;   118;   98;  1 041;   505;   536;;11D1714;;;;x
   Terras de Trás-os-Montes;   228;   227;   148;   79;   0;   1;   855;   125;   730;  1 034;   498;   536;  3 540;  1 629;  1 911;;11E;;;x;
Alfândega da Fé;   5;   5;   4;   1;   0;   0;   58;   7;   51;   16;   12;   4;   164;   86;   78;;11E0401;;;;x
Bragança;   82;   81;   54;   27;   0;   1;   205;   32;   173;   747;   364;   383;  2 059;   944;  1 115;;11E0402;;;;x
Macedo de Cavaleiros;   31;   31;   18;   13;   0;   0;   129;   27;   102;   46;   24;   22;   254;   121;   133;;11E0405;;;;x
Miranda do Douro;   8;   8;   6;   2;   0;   0;   50;   1;   49;   21;   4;   17;   109;   44;   65;;11E0406;;;;x
Mirandela;   52;   52;   36;   16;   0;   0;   167;   28;   139;   145;   59;   86;   537;   236;   301;;11E0407;;;;x
Mogadouro;   20;   20;   13;   7;   0;   0;   81;   13;   68;   19;   12;   7;   92;   45;   47;;11E0408;;;;x
Vila Flor;   9;   9;   3;   6;   0;   0;   62;   11;   51;   6;   3;   3;   199;   97;   102;;11E0410;;;;x
Vimioso;   9;   9;   7;   2;   0;   0;   31;   2;   29;   25;   14;   11;   74;   36;   38;;11E0411;;;;x
Vinhais;   12;   12;   7;   5;   0;   0;   72;   4;   68;   9;   6;   3;   52;   20;   32;;11E0412;;;;x
  Centro;  6 064;  6 002;  4 044;  1 938;   30;   32;  16 185;  3 513;  12 672;  16 106;  8 367;  7 739;  94 751;  48 041;  46 710;;16;;x;;
   Oeste;  1 217;  1 197;   891;   300;   9;   11;  2 496;   550;  1 946;  3 908;  2 129;  1 779;  23 487;  12 313;  11 174;;16B;;;x;
Alcobaça;   156;   153;   101;   51;   1;   2;   415;   91;   324;   474;   249;   225;  2 814;  1 463;  1 351;;16B1001;;;;x
Alenquer;   205;   202;   167;   35;   2;   1;   277;   70;   207;   514;   255;   259;  3 418;  1 717;  1 701;;16B1101;;;;x
Arruda dos Vinhos;   81;   81;   61;   19;   0;   0;   96;   27;   69;   124;   57;   67;   778;   403;   375;;16B1102;;;;x
Bombarral;   50;   50;   44;   6;   0;   0;   104;   13;   91;   96;   55;   41;   617;   321;   296;;16B1005;;;;x
Cadaval;   33;   33;   24;   9;   0;   0;   111;   17;   94;   56;   35;   21;   473;   244;   229;;16B1104;;;;x
Caldas da Rainha;   95;   94;   70;   24;   0;   1;   343;   74;   269;   597;   315;   282;  3 998;  2 041;  1 957;;16B1006;;;;x
Lourinhã;   55;   55;   45;   8;   0;   0;   158;   29;   129;   277;   150;   127;  1 705;   886;   819;;16B1108;;;;x
Nazaré;   117;   115;   96;   19;   0;   2;   111;   26;   85;   259;   139;   120;  1 146;   585;   561;;16B1011;;;;x
Óbidos;   46;   46;   28;   18;   0;   0;   96;   22;   74;   148;   87;   61;   961;   495;   466;;16B1012;;;;x
Peniche;   87;   84;   59;   25;   0;   3;   172;   30;   142;   305;   159;   146;  1 578;   803;   775;;16B1014;;;;x
Sobral de Monte Agraço;   56;   54;   37;   17;   2;   0;   73;   20;   53;   73;   36;   37;   424;   220;   204;;16B1112;;;;x
Torres Vedras;   236;   230;   159;   69;   4;   2;   540;   131;   409;   985;   592;   393;  5 575;  3 135;  2 440;;16B1113;;;;x
   Região de Aveiro;  1 135;  1 121;   794;   324;   11;   3;  2 446;   614;  1 832;  2 401;  1 202;  1 199;  14 213;  6 958;  7 255;;16D;;;x;
Águeda;   106;   106;   76;   30;   0;   0;   306;   72;   234;   293;   154;   139;  1 598;   836;   762;;16D0101;;;;x
Albergaria-a-Velha;   76;   74;   55;   19;   1;   1;   193;   44;   149;   113;   52;   61;   642;   319;   323;;16D0102;;;;x
Anadia;   55;   53;   28;   25;   1;   1;   189;   40;   149;   94;   47;   47;   754;   358;   396;;16D0103;;;;x
Aveiro;   272;   267;   200;   66;   5;   0;   495;   144;   351;  1 117;   551;   566;  5 829;  2 819;  3 010;;16D0105;;;;x
Estarreja;   90;   90;   67;   22;   0;   0;   183;   31;   152;   66;   32;   34;   651;   333;   318;;16D0108;;;;x
Ílhavo;   82;   82;   49;   33;   0;   0;   254;   65;   189;   242;   115;   127;  1 486;   683;   803;;16D0110;;;;x
Murtosa;   81;   80;   66;   14;   1;   0;   78;   22;   56;   40;   20;   20;   232;   116;   116;;16D0112;;;;x
Oliveira do Bairro;   110;   109;   73;   36;   0;   1;   166;   47;   119;   127;   62;   65;  1 016;   483;   533;;16D0114;;;;x
Ovar;   130;   129;   90;   39;   1;   0;   338;   110;   228;   151;   80;   71;  1 097;   558;   539;;16D0115;;;;x
Sever do Vouga;   17;   17;   15;   1;   0;   0;   94;   11;   83;   46;   24;   22;   226;   104;   122;;16D0117;;;;x
Vagos;   116;   114;   75;   39;   2;   0;   150;   28;   122;   112;   65;   47;   682;   349;   333;;16D0118;;;;x
   Região de Coimbra;  1 132;  1 120;   748;   368;   4;   8;  3 233;   727;  2 506;  3 124;  1 477;  1 647;  18 257;  8 904;  9 353;;16E;;;x;
Arganil;   17;   16;   12;   4;   0;   1;   108;   13;   95;   69;   34;   35;   741;   388;   353;;16E0601;;;;x
Cantanhede;   100;   100;   59;   40;   0;   0;   262;   49;   213;   132;   78;   54;   777;   380;   397;;16E0602;;;;x
Coimbra;   410;   406;   244;   161;   2;   2;   914;   254;   660;  1 809;   770;  1 039;  7 995;  3 644;  4 351;;16E0603;;;;x
Condeixa-a-Nova;   33;   33;   22;   11;   0;   0;   100;   28;   72;   33;   16;   17;   382;   171;   211;;16E0604;;;;x
Figueira da Foz;   179;   175;   146;   28;   0;   4;   439;   113;   326;   441;   233;   208;  2 983;  1 514;  1 469;;16E0605;;;;x
Góis;   7;   7;   7;   0;   0;   0;   43;   4;   39;   10;   5;   5;   289;   162;   127;;16E0606;;;;x
Lousã;   25;   24;   16;   8;   1;   0;   103;   29;   74;   44;   18;   26;   536;   263;   273;;16E0607;;;;x
Mealhada;   37;   37;   23;   14;   0;   0;   143;   27;   116;   55;   24;   31;   404;   203;   201;;16E0111;;;;x
Mira;   34;   34;   19;   15;   0;   0;   112;   17;   95;   48;   22;   26;   307;   149;   158;;16E0608;;;;x
Miranda do Corvo;   15;   15;   7;   8;   0;   0;   104;   25;   79;   37;   18;   19;   393;   197;   196;;16E0609;;;;x
Montemor-o-Velho;   77;   76;   49;   27;   1;   0;   174;   34;   140;   60;   34;   26;   329;   175;   154;;16E0610;;;;x
Mortágua;   17;   17;   14;   3;   0;   0;   69;   8;   61;   60;   36;   24;   306;   170;   136;;16E1808;;;;x
Oliveira do Hospital;   24;   24;   17;   7;   0;   0;   161;   29;   132;   121;   72;   49;   866;   475;   391;;16E0611;;;;x
Pampilhosa da Serra;   7;   7;   5;   2;   0;   0;   38;   5;   33;   2;   1;   1;   36;   16;   20;;16E0612;;;;x
Penacova;   40;   39;   25;   14;   0;   1;   127;   26;   101;   33;   19;   14;   208;   101;   107;;16E0613;;;;x
Penela;   36;   36;   33;   3;   0;   0;   48;   9;   39;   42;   24;   18;   397;   224;   173;;16E0614;;;;x
Soure;   40;   40;   27;   12;   0;   0;   142;   35;   107;   34;   17;   17;   291;   133;   158;;16E0615;;;;x
Tábua;   16;   16;   13;   3;   0;   0;   104;   15;   89;   59;   37;   22;   688;   361;   327;;16E0616;;;;x
Vila Nova de Poiares;   18;   18;   10;   8;   0;   0;   42;   7;   35;   35;   19;   16;   329;   178;   151;;16E0617;;;;x
   Região de Leiria;   693;   690;   454;   231;   1;   2;  1 879;   417;  1 462;  2 405;  1 290;  1 115;  15 837;  8 153;  7 684;;16F;;;x;
Alvaiázere;   10;   10;   6;   4;   0;   0;   56;   5;   51;   13;   10;   3;   495;   265;   230;;16F1002;;;;x
Ansião;   26;   26;   15;   11;   0;   0;   104;   15;   89;   35;   20;   15;   387;   205;   182;;16F1003;;;;x
Batalha;   77;   77;   37;   40;   0;   0;   102;   20;   82;   81;   48;   33;   647;   332;   315;;16F1004;;;;x
Castanheira de Pêra;   4;   3;   3;   0;   0;   1;   23;   4;   19;   12;   6;   6;   139;   73;   66;;16F1007;;;;x
Figueiró dos Vinhos;   10;   10;   7;   3;   0;   0;   52;   5;   47;   12;   8;   4;   288;   150;   138;;16F1008;;;;x
Leiria;   300;   298;   196;   99;   1;   1;   748;   201;   547;  1 313;   666;   647;  7 501;  3 694;  3 807;;16F1009;;;;x
Marinha Grande;   77;   77;   66;   10;   0;   0;   234;   62;   172;   454;   272;   182;  2 845;  1 519;  1 326;;16F1010;;;;x
Pedrógão Grande;   12;   12;   6;   6;   0;   0;   32;   2;   30;   82;   38;   44;   622;   325;   297;;16F1013;;;;x
Pombal;   144;   144;   97;   46;   0;   0;   390;   67;   323;   288;   158;   130;  2 027;  1 135;   892;;16F1015;;;;x
Porto de Mós;   33;   33;   21;   12;   0;   0;   138;   36;   102;   115;   64;   51;   886;   455;   431;;16F1016;;;;x
   Viseu Dão Lafões;   699;   696;   414;   282;   1;   2;  1 926;   412;  1 514;  1 197;   644;   553;  6 186;  3 148;  3 038;;16G;;;x;
Aguiar da Beira;   18;   18;   8;   10;   0;   0;   61;   5;   56;   3;   2;   1;   45;   25;   20;;16G0901;;;;x
Carregal do Sal;   18;   18;   13;   5;   0;   0;   71;   13;   58;   44;   26;   18;   210;   102;   108;;16G1802;;;;x
Castro Daire;   43;   43;   21;   22;   0;   0;   108;   19;   89;   18;   8;   10;   164;   80;   84;;16G1803;;;;x
Mangualde;   80;   79;   46;   33;   0;   1;   150;   26;   124;   44;   20;   24;   404;   229;   175;;16G1806;;;;x
Nelas;   44;   44;   29;   15;   0;   0;   99;   17;   82;   28;   14;   14;   272;   134;   138;;16G1809;;;;x
Oliveira de Frades;   34;   34;   21;   13;   0;   0;   58;   16;   42;   88;   55;   33;   404;   248;   156;;16G1810;;;;x
Penalva do Castelo;   20;   20;   7;   13;   0;   0;   68;   7;   61;   8;   7;   1;   67;   35;   32;;16G1811;;;;x
Santa Comba Dão;   26;   26;   15;   11;   0;   0;   95;   23;   72;   54;   37;   17;   298;   171;   127;;16G1814;;;;x
São Pedro do Sul;   33;   32;   27;   5;   0;   1;   140;   28;   112;   65;   43;   22;   272;   136;   136;;16G1816;;;;x
Sátão;   29;   29;   18;   11;   0;   0;   72;   9;   63;   22;   11;   11;   109;   54;   55;;16G1817;;;;x
Tondela;   60;   60;   41;   19;   0;   0;   212;   33;   179;   106;   63;   43;   429;   241;   188;;16G1821;;;;x
Vila Nova de Paiva;   15;   15;   11;   4;   0;   0;   38;   8;   30;   3;   1;   2;   57;   23;   34;;16G1822;;;;x
Viseu;   255;   254;   143;   111;   1;   0;   673;   193;   480;   688;   344;   344;  3 321;  1 605;  1 716;;16G1823;;;;x
Vouzela;   24;   24;   14;   10;   0;   0;   81;   15;   66;   26;   13;   13;   134;   65;   69;;16G1824;;;;x
   Beira Baixa;   186;   184;   118;   65;   1;   1;   664;   107;   557;   659;   369;   290;  3 562;  1 902;  1 660;;16H;;;x;
Castelo Branco;   142;   140;   91;   48;   1;   1;   414;   85;   329;   443;   236;   207;  2 122;  1 083;  1 039;;16H0502;;;;x
Idanha-a-Nova;   11;   11;   9;   2;   0;   0;   71;   9;   62;   88;   56;   32;   475;   265;   210;;16H0505;;;;x
Oleiros;   12;   12;   9;   3;   0;   0;   35;   5;   30;   33;   21;   12;   156;   95;   61;;16H0506;;;;x
Penamacor;   5;   5;   1;   4;   0;   0;   51;   2;   49;   35;   18;   17;   398;   204;   194;;16H0507;;;;x
Proença-a-Nova;   14;   14;   7;   7;   0;   0;   67;   4;   63;   32;   20;   12;   228;   129;   99;;16H0508;;;;x
Vila Velha de Ródão;   2;   2;   1;   1;   0;   0;   26;   2;   24;   28;   18;   10;   183;   126;   57;;16H0511;;;;x
   Médio Tejo;   582;   580;   370;   209;   0;   2;  1 794;   384;  1 410;  1 313;   653;   660;  7 960;  3 946;  4 014;;16I;;;x;
Abrantes;   71;   71;   47;   24;   0;   0;   282;   53;   229;   66;   31;   35;   608;   303;   305;;16I1401;;;;x
Alcanena;   16;   16;   9;   7;   0;   0;   95;   18;   77;   55;   27;   28;   443;   211;   232;;16I1402;;;;x
Constância;   36;   36;   28;   8;   0;   0;   33;   5;   28;   2;   1;   1;   48;   16;   32;;16I1408;;;;x
Entroncamento;   30;   30;   25;   5;   0;   0;   127;   36;   91;   210;   93;   117;   984;   448;   536;;16I1410;;;;x
Ferreira do Zêzere;   25;   25;   19;   6;   0;   0;   66;   9;   57;   46;   25;   21;   387;   199;   188;;16I1411;;;;x
Mação;   9;   9;   5;   4;   0;   0;   64;   7;   57;   21;   9;   12;   146;   64;   82;;16I1413;;;;x
Ourém;   159;   158;   89;   69;   0;   1;   322;   76;   246;   531;   267;   264;  2 684;  1 353;  1 331;;16I1421;;;;x
Sardoal;   9;   9;   5;   4;   0;   0;   28;   8;   20;   6;   2;   4;   68;   40;   28;;16I1417;;;;x
Sertã;   37;   37;   33;   4;   0;   0;   108;   21;   87;   98;   61;   37;   560;   311;   249;;16I0509;;;;x
Tomar;   88;   87;   54;   33;   0;   1;   296;   75;   221;   148;   64;   84;  1 151;   562;   589;;16I1418;;;;x
Torres Novas;   49;   49;   24;   25;   0;   0;   295;   69;   226;   102;   57;   45;   684;   343;   341;;16I1419;;;;x
Vila de Rei;   9;   9;   5;   4;   0;   0;   26;   2;   24;   12;   9;   3;   90;   49;   41;;16I0510;;;;x
Vila Nova da Barquinha;   44;   44;   27;   16;   0;   0;   52;   5;   47;   16;   7;   9;   107;   47;   60;;16I1420;;;;x
   Beiras e Serra da Estrela;   420;   414;   255;   159;   3;   3;  1 747;   302;  1 445;  1 099;   603;   496;  5 249;  2 717;  2 532;;16J;;;x;
Almeida;   11;   11;   5;   6;   0;   0;   65;   5;   60;   15;   8;   7;   105;   43;   62;;16J0902;;;;x
Belmonte;   10;   10;   4;   6;   0;   0;   36;   9;   27;   22;   14;   8;   91;   50;   41;;16J0501;;;;x
Celorico da Beira;   20;   20;   18;   2;   0;   0;   67;   14;   53;   22;   12;   10;   160;   79;   81;;16J0903;;;;x
Covilhã;   80;   76;   57;   19;   2;   2;   374;   95;   279;   376;   198;   178;  1 497;   791;   706;;16J0503;;;;x
Figueira de Castelo Rodrigo;   5;   5;   4;   1;   0;   0;   47;   9;   38;   7;   4;   3;   43;   19;   24;;16J0904;;;;x
Fornos de Algodres;   7;   7;   4;   3;   0;   0;   44;   1;   43;   8;   6;   2;   77;   41;   36;;16J0905;;;;x
Fundão;   61;   61;   32;   29;   0;   0;   199;   30;   169;   181;   99;   82;  1 206;   648;   558;;16J0504;;;;x
Gouveia;   25;   25;   20;   5;   0;   0;   98;   12;   86;   24;   14;   10;   225;   113;   112;;16J0906;;;;x
Guarda;   104;   103;   48;   55;   1;   0;   295;   68;   227;   323;   182;   141;   973;   504;   469;;16J0907;;;;x
Manteigas;   5;   5;   4;   1;   0;   0;   27;   7;   20;   17;   9;   8;   40;   18;   22;;16J0908;;;;x
Mêda;   12;   11;   5;   6;   0;   1;   45;   5;   40;   3;   3;   0;   42;   24;   18;;16J0909;;;;x
