;;;;;;;;;;;;;;;;;;;;;;;
II.1.2 - Indicadores de população segundo a Tipologia de áreas urbanas, por NUTS III, 2021;;;;;;;;;;;;;;;;;;;;;;;
II.1.2 - Population indicators according to the Classification of urban areas, by NUTS III, 2021;;;;;;;;;;;;;;;;;;;;;;;
;Taxa bruta de natalidade;;;Taxa bruta de mortalidade;;;Proporção da população residente com 65 ou mais anos de idade;;;Saldo natural ;;;Índice de Envelhecimento;;;Relação de masculinidade;;;;;;;
   Médio Tejo; 6,2; 6,3; 5,4; 13,2; 17,0; 19,7; 24,8; 30,3; 35,4;- 838;- 371;-1 087; 191,8; 279,1; 387,7; 88,5; 91,3; 92,6;;16I;;;x
   Beiras e Serra da Estrela; 7,2; 4,9; 4,2; 12,4; 15,8; 22,5; 24,5; 31,2; 41,1;- 390;- 489;-1 671; 207,5; 301,3; 536,2; 90,4; 90,6; 90,4;;16J;;;x
  A. M. Lisboa; 9,4; 7,9; 8,8; 11,6; 11,6; 15,7; 21,8; 22,1; 25,0;-6 073;- 358;- 128; 152,3; 151,1; 199,5; 88,4; 95,2; 101,0;;170;;x;x
  Alentejo; 8,1; 7,3; 6,1; 14,5; 18,7; 19,6; 24,2; 27,1; 32,5;-2 514;-1 297;-2 698; 178,4; 233,8; 318,4; 91,4; 98,3; 97,4;;18;;x;
   Alentejo Litoral; 8,1; 10,1; 5,8; 15,7; 12,1; 16,6; 26,0; 19,6; 30,3;- 380;- 37;- 316; 196,3; 183,0; 307,7; 92,8; 131,2; 107,7;;181;;;x
   Baixo Alentejo; 9,2; 7,6; 7,7; 15,5; 21,9; 21,7; 23,7; 27,2; 33,2;- 336;- 386;- 483; 166,5; 222,1; 318,3; 95,0; 96,0; 99,1;;184;;;x
   Lezíria do Tejo; 8,0; 6,2; 5,6; 13,7; 16,5; 16,5; 23,2; 27,9; 31,0;- 846;- 301;- 651; 168,3; 237,1; 290,9; 90,3; 93,0; 96,8;;185;;;x
   Alto Alentejo; 7,6; 5,8; 5,7; 15,7; 24,0; 22,6; 24,4; 32,5; 35,8;- 393;- 374;- 613; 180,2; 306,3; 365,5; 90,5; 89,0; 91,3;;186;;;x
   Alentejo Central; 7,9; 7,6; 6,1; 13,8; 18,2; 21,9; 24,8; 27,1; 32,8;- 559;- 199;- 635; 192,5; 219,9; 328,3; 90,8; 94,0; 95,4;;187;;;x
  Algarve; 9,3; 8,0; 7,4; 11,4; 14,3; 15,7; 21,9; 27,3; 29,7;- 675;- 385;- 683; 157,1; 213,4; 252,1; 91,9; 96,5; 96,8;;150;;x;x
 R. A. Açores; 9,2; 7,9; 8,4; 10,0; 9,4; 10,6; 16,2; 16,5; 18,3;- 81;- 98;- 143; 108,3; 115,1; 131,6; 91,4; 96,3; 98,6;;200;x;x;x
 R. A. Madeira; 7,2; 5,8; 5,3; 10,8; 13,3; 16,6; 19,2; 23,6; 27,5;- 748;- 192;- 191; 149,7; 204,2; 268,4; 89,1; 84,8; 85,1;;300;x;x;x
;Crude birth rate ;;;Crude death rate ;;;Proportion of resident population with 65 or more years old;;;Natural increase;;;Ageing ratio;;;Sex ratio;;;;;;;
;PUA;MUA;PRA;PUA;MUA;PRA;PUA;MUA;PRA;PUA;MUA;PRA;PUA;MUA;PRA;PUA;MUA;PRA;;;;;
;‰ ;;;;;;%;;;No.;;;;;;;;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;;;;;;;;;
Fonte: INE, I.P., Indicadores Demográficos e Estimativas Anuais da População Residente.;;;;;;;;;;;;;;;;;;;;;;;
Source: Statistics Portugal, Demographic Indicators and Annual Estimates of Resident Population.;;;;;;;;;;;;;;;;;;;;;;;
"Nota: A Tipologia de áreas urbanas, para fins estatísticos, corresponde à versão aprovada pela 39.ª (2014) deliberação da Secção Permanente de Coordenação Estatística do Conselho Superior de Estatística, publicada no Diário da República, 2ª série, n.º 144, de 29 de julho de 2014 (TIPAU 2014). 
Os dados da população residente, utilizados no cálculo dos indicadores para 2021, resultam de um exercício ad hoc de estimativas de população residente para 31 de dezembro de 2021, calculadas com base nos resultados provisórios dos Censos 2021. Assim, os resultados dos indicadores para 2021 serão revistos na sequência da divulgação da nova série de estimativas de população pós-Censos 2021.";;;;;;;;;;;;;;;;;;;;;;;
"Note: The Classification of urban areas corresponds to the version approved by the 39th (2014) resolution of the Standing Section of Statistical Coordination of the Statistical Council, published in the Diário da República (Portuguese Official Gazette), 2nd series, no. 144, of July 29th, 2014 (TIPAU 2014).
The resident population data, used in the calculation of the 2021 indicators are a result from an ad hoc exercise of resident population estimates for December 31, 2021, based on the provisional results of the 2021 Census. Thus, the results of the 2021 indicators will be revised following the release of the new series of post-2021 Census population estimates.";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008835;;;;;;;;;;;;;;;;;;;;;;;
