II.1.8 -Mulheres dos 18 aos 49 anos, por fecundidade final esperada, realizada, intencional, desejada e número ideal de filhos (em sentido lato) numa família, por escalão de número de filhos e NUTS II, 2019;;;;;;;;;;;;
II.1.8 - Women aged 18 to 49 years according to expected, achieved, intentional, desired fertility and ideal number of children (in a broad sense) in a family, by size class of number of children and NUTS II, 2019;;;;;;;;;;;;
Unidade: milhares de mulheres;;;;;;;;;Unit: thousands of women;;;
"Nota: Por questões de arredondamento, os totais podem não corresponder à soma das parcelas. 
Na Fecundidade Intencional: A categoria ""Não sabe"" abrange os casos em que a pessoa indicou não saber se quer ter (ter mais) filhos ou quantos filhos pretende ter no futuro, independentemente da existência de uma gravidez atual.
Na Fecundidade Final Esperada: 
 - A categoria ""Não tem filhos e não sabe se quer ter"" abrange os casos em que a pessoa não tem filhos e não existia uma gravidez atual e indicou não saber se quer ter (ter mais) filhos ou quantos filhos pretende ter no futuro (categoria “Não sabe” na fecundidade intencional). 
 - Os casos em que a pessoa tem filhos e/ou existia uma gravidez atual, e indicou não saber a intenção de ter mais filhos ou quantos filhos pretendia ter no futuro (categoria ""Não sabe"" na fecundidade intencional), foram tratados como não tendo intenção de ter mais filhos. Nestes casos, a Fecundidade Final Esperada corresponde à Fecundidade Realizada (incluindo a gravidez atual, caso se aplique).";;;;;;;;;;;;
"Note: For rounding reasons, the totals may not correspond to the sum of the parcels. 
In Intentional Fertility: The category ""Doesn't know"" covers cases where the person indicated not knowing if wants to have (more) children or how many children intends to have in the future, regardless of the existence of a current pregnancy.
In Expected Fertility: 
 - The category ""Doesn't have children and doesn't know if intends to have"" covers cases where the person has no children and there was no current pregnancy and indicated not knowing if wants to have (more) children or how many children intends to have in the future (""Doesn't know"" category in intentional fertility). 
 - Cases where the person has children and/or there was a current pregnancy, and indicated not knowing if wants to have more children or how many children intended to have in the future (""Don't know"" category in intentional fertility), were treated as not intending to have more children. In these cases, Expected Final Fertility corresponds to Achieved Fertility (including current pregnancy, if applicable).";;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
